,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
1318,INFOSYSTCH,EQ,01-Apr-2005,2257.2,2259.9,2259.9,2212.35,2228.0,2235.85,2238.03,857932,1920080628.95,-,322753,37.62
1319,INFOSYSTCH,EQ,04-Apr-2005,2235.85,2237.0,2257.0,2216.4,2226.0,2228.65,2235.9,807511,1805517639.95,-,361936,44.82
1320,INFOSYSTCH,EQ,05-Apr-2005,2228.65,2250.0,2422.8,2213.0,2217.5,2221.45,2225.98,488134,1086578768.45,-,171715,35.18
1321,INFOSYSTCH,EQ,06-Apr-2005,2221.45,2225.0,2240.0,2211.0,2234.0,2236.3,2228.18,581060,1294707141.35,-,255167,43.91
1322,INFOSYSTCH,EQ,07-Apr-2005,2236.3,2228.0,2244.7,2175.55,2179.95,2188.3,2213.14,689221,1525345565.7,-,321605,46.66
1323,INFOSYSTCH,EQ,08-Apr-2005,2188.3,2175.5,2180.0,2118.0,2123.0,2127.9,2140.12,1229483,2631242583.2,-,483520,39.33
1324,INFOSYSTCH,EQ,11-Apr-2005,2127.9,2128.0,2128.0,2070.25,2072.0,2077.8,2086.47,747290,1559198432.4,-,304366,40.73
1325,INFOSYSTCH,EQ,12-Apr-2005,2077.8,1984.0,2130.0,1984.0,2113.3,2117.55,2103.28,1077898,2267123051.2,-,485965,45.08
1326,INFOSYSTCH,EQ,13-Apr-2005,2117.55,2140.0,2140.0,2087.15,2096.0,2101.5,2105.31,1189436,2504127573.95,-,552061,46.41
1327,INFOSYSTCH,EQ,15-Apr-2005,2101.5,2050.0,2050.0,1935.0,1956.0,1957.1,1966.72,2182500,4292355830.5,-,1010820,46.31
1328,INFOSYSTCH,EQ,18-Apr-2005,1957.1,1950.0,1950.0,1900.0,1911.0,1913.95,1922.04,1685205,3239035162.95,-,835557,49.58
1329,INFOSYSTCH,EQ,19-Apr-2005,1913.95,1934.0,1974.7,1900.0,1909.1,1912.6,1943.65,1534425,2982379181.5,-,713272,46.48
1330,INFOSYSTCH,EQ,20-Apr-2005,1912.6,1950.0,1959.65,1893.35,1953.0,1948.0,1928.92,1670393,3222060981.05,-,615606,36.85
1331,INFOSYSTCH,EQ,21-Apr-2005,1948.0,1940.0,1950.0,1903.0,1947.0,1944.8,1928.41,1334519,2573502952.1,-,660689,49.51
1332,INFOSYSTCH,EQ,22-Apr-2005,1944.8,1980.0,2008.0,1947.8,1997.0,1999.25,1989.91,1531323,3047196221.4,-,782362,51.09
1333,INFOSYSTCH,EQ,25-Apr-2005,1999.25,2018.0,2018.0,1975.0,1995.0,1988.4,1990.32,853123,1697992017.7,-,437070,51.23
1334,INFOSYSTCH,EQ,26-Apr-2005,1988.4,1979.0,1979.7,1952.55,1953.0,1958.6,1963.93,569124,1117719482.75,-,252187,44.31
1335,INFOSYSTCH,EQ,27-Apr-2005,1958.6,1915.0,1935.0,1878.0,1917.0,1914.15,1907.67,2027164,3867154017.45,-,904441,44.62
1336,INFOSYSTCH,EQ,28-Apr-2005,1914.15,1910.0,1915.0,1890.0,1900.1,1905.6,1904.55,1382335,2632730548.85,-,642459,46.48
1337,INFOSYSTCH,EQ,29-Apr-2005,1905.6,1919.0,1919.0,1876.4,1885.3,1886.8,1899.66,862568,1638588146.75,-,255992,29.68
